
FAT:
BLOCK 0: No, Next: -1
BLOCK 1: No, Next: -1
BLOCK 2: No, Next: -1
BLOCK 3: No, Next: -1
BLOCK 4: Yes, Next: -1
BLOCK 5: Yes, Next: -1
BLOCK 6: Yes, Next: -1
BLOCK 7: Yes, Next: -1
BLOCK 8: Yes, Next: -1
BLOCK 9: Yes, Next: -1
BLOCK 10: Yes, Next: -1
BLOCK 11: Yes, Next: -1
BLOCK 12: Yes, Next: -1
BLOCK 13: Yes, Next: -1
BLOCK 14: Yes, Next: -1
BLOCK 15: Yes, Next: -1
BLOCK 16: Yes, Next: -1
BLOCK 17: Yes, Next: -1
BLOCK 18: Yes, Next: -1
BLOCK 19: Yes, Next: -1
BLOCK 20: Yes, Next: -1
BLOCK 21: Yes, Next: -1
BLOCK 22: Yes, Next: -1
BLOCK 23: Yes, Next: -1
BLOCK 24: Yes, Next: -1
BLOCK 25: Yes, Next: -1
BLOCK 26: Yes, Next: -1
BLOCK 27: Yes, Next: -1
BLOCK 28: Yes, Next: -1
BLOCK 29: Yes, Next: -1
BLOCK 30: Yes, Next: -1
BLOCK 31: Yes, Next: -1
BLOCK 32: Yes, Next: -1
BLOCK 33: Yes, Next: -1
BLOCK 34: Yes, Next: -1
BLOCK 35: Yes, Next: -1
BLOCK 36: Yes, Next: -1
BLOCK 37: Yes, Next: -1
BLOCK 38: Yes, Next: -1
BLOCK 39: Yes, Next: -1
BLOCK 40: Yes, Next: -1
BLOCK 41: Yes, Next: -1
BLOCK 42: Yes, Next: -1
BLOCK 43: Yes, Next: -1
BLOCK 44: Yes, Next: -1
BLOCK 45: Yes, Next: -1
BLOCK 46: Yes, Next: -1
BLOCK 47: Yes, Next: -1
BLOCK 48: Yes, Next: -1
BLOCK 49: Yes, Next: -1
BLOCK 50: Yes, Next: -1
BLOCK 51: Yes, Next: -1
BLOCK 52: Yes, Next: -1
BLOCK 53: Yes, Next: -1
BLOCK 54: Yes, Next: -1
BLOCK 55: Yes, Next: -1
BLOCK 56: Yes, Next: -1
BLOCK 57: Yes, Next: -1
BLOCK 58: Yes, Next: -1
BLOCK 59: Yes, Next: -1
BLOCK 60: Yes, Next: -1
BLOCK 61: Yes, Next: -1
BLOCK 62: Yes, Next: -1
BLOCK 63: Yes, Next: -1
BLOCK 64: Yes, Next: -1
BLOCK 65: Yes, Next: -1
BLOCK 66: Yes, Next: -1
BLOCK 67: Yes, Next: -1
BLOCK 68: Yes, Next: -1
BLOCK 69: Yes, Next: -1
BLOCK 70: Yes, Next: -1
BLOCK 71: Yes, Next: -1
BLOCK 72: Yes, Next: -1
BLOCK 73: Yes, Next: -1
BLOCK 74: Yes, Next: -1
BLOCK 75: Yes, Next: -1
BLOCK 76: Yes, Next: -1
BLOCK 77: Yes, Next: -1
BLOCK 78: Yes, Next: -1
BLOCK 79: Yes, Next: -1
BLOCK 80: Yes, Next: -1
BLOCK 81: Yes, Next: -1
BLOCK 82: Yes, Next: -1
BLOCK 83: Yes, Next: -1
BLOCK 84: Yes, Next: -1
BLOCK 85: Yes, Next: -1
BLOCK 86: Yes, Next: -1
BLOCK 87: Yes, Next: -1
BLOCK 88: Yes, Next: -1
BLOCK 89: Yes, Next: -1
BLOCK 90: Yes, Next: -1
BLOCK 91: Yes, Next: -1
BLOCK 92: Yes, Next: -1
BLOCK 93: Yes, Next: -1
BLOCK 94: Yes, Next: -1
BLOCK 95: Yes, Next: -1
BLOCK 96: Yes, Next: -1
BLOCK 97: Yes, Next: -1
BLOCK 98: Yes, Next: -1
BLOCK 99: Yes, Next: -1
BLOCK 100: Yes, Next: -1
BLOCK 101: Yes, Next: -1
BLOCK 102: Yes, Next: -1
BLOCK 103: Yes, Next: -1
BLOCK 104: Yes, Next: -1
BLOCK 105: Yes, Next: -1
BLOCK 106: Yes, Next: -1
BLOCK 107: Yes, Next: -1
BLOCK 108: Yes, Next: -1
BLOCK 109: Yes, Next: -1
BLOCK 110: Yes, Next: -1
BLOCK 111: Yes, Next: -1
BLOCK 112: Yes, Next: -1
BLOCK 113: Yes, Next: -1
BLOCK 114: Yes, Next: -1
BLOCK 115: Yes, Next: -1
BLOCK 116: Yes, Next: -1
BLOCK 117: Yes, Next: -1
BLOCK 118: Yes, Next: -1
BLOCK 119: Yes, Next: -1
BLOCK 120: Yes, Next: -1
BLOCK 121: Yes, Next: -1
BLOCK 122: Yes, Next: -1
BLOCK 123: Yes, Next: -1
BLOCK 124: Yes, Next: -1
BLOCK 125: Yes, Next: -1
BLOCK 126: Yes, Next: -1
BLOCK 127: Yes, Next: -1
BLOCK 128: Yes, Next: -1
BLOCK 129: Yes, Next: -1
BLOCK 130: Yes, Next: -1
BLOCK 131: Yes, Next: -1
BLOCK 132: Yes, Next: -1
BLOCK 133: Yes, Next: -1
BLOCK 134: Yes, Next: -1
BLOCK 135: Yes, Next: -1
BLOCK 136: Yes, Next: -1
BLOCK 137: Yes, Next: -1
BLOCK 138: Yes, Next: -1
BLOCK 139: Yes, Next: -1
BLOCK 140: Yes, Next: -1
BLOCK 141: Yes, Next: -1
BLOCK 142: Yes, Next: -1
BLOCK 143: Yes, Next: -1
BLOCK 144: Yes, Next: -1
BLOCK 145: Yes, Next: -1
BLOCK 146: Yes, Next: -1
BLOCK 147: Yes, Next: -1
BLOCK 148: Yes, Next: -1
BLOCK 149: Yes, Next: -1
BLOCK 150: Yes, Next: -1
BLOCK 151: Yes, Next: -1
BLOCK 152: Yes, Next: -1
BLOCK 153: Yes, Next: -1
BLOCK 154: Yes, Next: -1
BLOCK 155: Yes, Next: -1
BLOCK 156: Yes, Next: -1
BLOCK 157: Yes, Next: -1
BLOCK 158: Yes, Next: -1
BLOCK 159: Yes, Next: -1
BLOCK 160: Yes, Next: -1
BLOCK 161: Yes, Next: -1
BLOCK 162: Yes, Next: -1
BLOCK 163: Yes, Next: -1
BLOCK 164: Yes, Next: -1
BLOCK 165: Yes, Next: -1
BLOCK 166: Yes, Next: -1
BLOCK 167: Yes, Next: -1
BLOCK 168: Yes, Next: -1
BLOCK 169: Yes, Next: -1
BLOCK 170: Yes, Next: -1
BLOCK 171: Yes, Next: -1
BLOCK 172: Yes, Next: -1
BLOCK 173: Yes, Next: -1
BLOCK 174: Yes, Next: -1
BLOCK 175: Yes, Next: -1
BLOCK 176: Yes, Next: -1
BLOCK 177: Yes, Next: -1
BLOCK 178: Yes, Next: -1
BLOCK 179: Yes, Next: -1
BLOCK 180: Yes, Next: -1
BLOCK 181: Yes, Next: -1
BLOCK 182: Yes, Next: -1
BLOCK 183: Yes, Next: -1
BLOCK 184: Yes, Next: -1
BLOCK 185: Yes, Next: -1
BLOCK 186: Yes, Next: -1
BLOCK 187: Yes, Next: -1
BLOCK 188: Yes, Next: -1
BLOCK 189: Yes, Next: -1
BLOCK 190: Yes, Next: -1
BLOCK 191: Yes, Next: -1
BLOCK 192: Yes, Next: -1
BLOCK 193: Yes, Next: -1
BLOCK 194: Yes, Next: -1
BLOCK 195: Yes, Next: -1
BLOCK 196: Yes, Next: -1
BLOCK 197: Yes, Next: -1
BLOCK 198: Yes, Next: -1
BLOCK 199: Yes, Next: -1
BLOCK 200: Yes, Next: -1
BLOCK 201: Yes, Next: -1
BLOCK 202: Yes, Next: -1
BLOCK 203: Yes, Next: -1
BLOCK 204: Yes, Next: -1
BLOCK 205: Yes, Next: -1
BLOCK 206: Yes, Next: -1
BLOCK 207: Yes, Next: -1
BLOCK 208: Yes, Next: -1
BLOCK 209: Yes, Next: -1
BLOCK 210: Yes, Next: -1
BLOCK 211: Yes, Next: -1
BLOCK 212: Yes, Next: -1
BLOCK 213: Yes, Next: -1
BLOCK 214: Yes, Next: -1
BLOCK 215: Yes, Next: -1
BLOCK 216: Yes, Next: -1
BLOCK 217: Yes, Next: -1
BLOCK 218: Yes, Next: -1
BLOCK 219: Yes, Next: -1
BLOCK 220: Yes, Next: -1
BLOCK 221: Yes, Next: -1
BLOCK 222: Yes, Next: -1
BLOCK 223: Yes, Next: -1
BLOCK 224: Yes, Next: -1
BLOCK 225: Yes, Next: -1
BLOCK 226: Yes, Next: -1
BLOCK 227: Yes, Next: -1
BLOCK 228: Yes, Next: -1
BLOCK 229: Yes, Next: -1
BLOCK 230: Yes, Next: -1
BLOCK 231: Yes, Next: -1
BLOCK 232: Yes, Next: -1
BLOCK 233: Yes, Next: -1
BLOCK 234: Yes, Next: -1
BLOCK 235: Yes, Next: -1
